Name	Longitude	Latitude	Elevation	Filename
1	-112.90322	38.48619	1640	1
2	-112.8958	38.48639	1669	2
3	-112.88831	38.48648	1697	3
4	-112.88092	38.48658	1725	4
5	-112.8734	38.4867 	1759	5
6	-112.866	38.4868 	1805	6
7	-112.85828	38.48734	1829	7
8	-112.90341	38.4921 	1631	8
9	-112.89592	38.49221	1657	9
10	-112.88857	38.49231	1684	10
11	-112.88102	38.4924 	1716	11
12	-112.87361	38.49258	1753	12
13	-112.86612	38.49272	1793	13
14	-112.85873	38.49278	1834	14
15	-112.90339	38.49786	1623	15
16	-112.89607	38.49815	1645	16
17	-112.88859	38.4982 	1674	17
18	-112.88122	38.49831	1706	18
19	-112.87371	38.49842	1741	19
20	-112.86635	38.49847	1779	20
21	-112.85883	38.49874	1805	21
22	-112.90381	38.50376	1618	22
23	-112.89626	38.50391	1645	23
24	-112.88879	38.504  	1647	24
25	-112.88139	38.50421	1671	25
26	-112.87393	38.5043 	1695	26
27	-112.8664	38.50444	1735	27
28	-112.85899	38.50452	1801	28
29	-112.90388	38.50968	1604	29
30	-112.89634	38.50978	1634	30
31	-112.8898	38.5099 	1663	31
32	-112.88145	38.51   	1695	32
33	-112.87401	38.51006	1726	33
34	-112.86659	38.51024	1757	34
35	-112.8591	38.51042	1780	35
36	-112.90392	38.51562	1601	36
37	-112.89674	38.51561	1622	37
38	-112.88911	38.51572	1654	38
39	-112.88179	38.51594	1682	39
40	-112.87424	38.51596	1709	40
41	-112.86684	38.51612	1736	41
42	-112.85928	38.51621	1772	42
43	-112.90434	38.5214 	1585	43
44	-112.8968	38.52151	1608	44
45	-112.88929	38.52168	1635	45
46	-112.88179	38.52171	1668	46
47	-112.87442	38.52176	1696	47
48	-112.86688	38.52206	1723	48
49	-112.85931	38.52213	1767	49
