-112.90321 38.48619 1642.0   1 001 4117 FORGE001
-112.89579 38.48640 1659.6   2 002 4067 FORGE002
-112.88831 38.48649 1683.7   3 003 5487 FORGE003
-112.88089 38.48660 1719.4   4 004 5582 FORGE004
-112.87340 38.48670 1762.0   5 005 5567 FORGE005
-112.86601 38.48680 1799.8   6 006 5453 FORGE006
-112.85828 38.48738 1817.2   7 007 5517 FORGE007
-112.90340 38.49210 1643.8   8 008 4000 FORGE008
-112.89591 38.49220 1659.6   9 009 5514 FORGE009
-112.88858 38.49231 1688.3  10 010 5554 FORGE010
-112.88102 38.49239 1717.5  11 011 5525 FORGE011
-112.87361 38.49260 1753.5  12 012 5433 FORGE012
-112.86613 38.49271 1795.0  13 013 5431 FORGE013
-112.85870 38.49281 1826.7  14 014 3981 FORGE014
-112.90344 38.49788 1635.6  15 015 5452 FORGE015
-112.89610 38.49814 1655.1  16 016 5519 FORGE016
-112.88859 38.49821 1681.0  17 017 5501 FORGE017
-112.88120 38.49829 1712.1  18 018 5504 FORGE018
-112.87370 38.49841 1747.4  19 019 4047 FORGE019
-112.86632 38.49850 1785.2  20 020 5472 FORGE020
-112.85880 38.49870 1801.1  21 021 4078 FORGE021
-112.90373 38.50379 1626.1  22 022 5579 FORGE022
-112.89627 38.50392 1656.3  23 023 5497 FORGE023
-112.88881 38.50399 1642.3  24 024 5457 FORGE024
-112.88135 38.50420 1681.3  25 025 5548 FORGE025
-112.87393 38.50431 1693.8  26 026 5479 FORGE026
-112.86640 38.50444 1737.4  27 027 5486 FORGE027
-112.85901 38.50449 1805.3  28 028 3990 FORGE028
-112.90385 38.50965 1608.7  29 029 5432 FORGE029
-112.89639 38.50981 1639.5  30 030 5549 FORGE030
-112.88898 38.50986 1667.0  31 031 5438 FORGE031
-112.88146 38.51000 1697.1  32 032 5518 FORGE032
-112.87410 38.51011 1732.5  33 033 5526 FORGE033
-112.86662 38.51031 1764.8  34 034 5471 FORGE034
-112.85912 38.51040 1783.4  35 035 3980 FORGE035
-112.90402 38.51555 1604.5  36 036 5515 FORGE036
-112.89674 38.51560 1626.1  37 037 5566 FORGE037
-112.88912 38.51566 1657.8  38 038 4005 FORGE038
-112.88161 38.51595 1686.8  39 039 5529 FORGE039
-112.87424 38.51596 1713.9  40 040 5507 FORGE040
-112.86684 38.51611 1740.4  41 041 4024 FORGE041
-112.85925 38.51621 1771.2  42 042 5446 FORGE042
-112.90423 38.52137 1591.1  43 043 5484 FORGE043
-112.89684 38.52161 1616.7  44 044 4231 FORGE044
-112.88923 38.52168 1644.7  45 045 5583 FORGE045
-112.88176 38.52163 1672.1  46 046 5538 FORGE046
-112.87440 38.52174 1700.5  47 047 5499 FORGE047
-112.86686 38.52206 1721.2  48 048 5546 FORGE048
-112.85932 38.52214 1762.7  49 049 5520 FORGE049
-112.88500 38.50120 1692.9  50 050 5481 FORGE050
