Grid_Name	Serial Number	Latitude	Longitude	File_Name	Icon
1b	1074	38.39934	-113.01805	1	157
2b	1081	38.39473	-112.971	2	157
3b	1061	38.3954		-112.92522	3	157
4b	1072	38.39561	-112.8811	4	157
5b	1073	38.39969	-112.84996	5	157
7b	1085	38.39784	-112.74397	6	157
8b	1369	38.43021	-113.01898	7	157
9b	1457	38.4204		-112.97568	8	157
10b	1481	38.43149	-112.9262	9	157
11b	1444	38.43222	-112.88023	10	157
12b	1473	38.42665	-112.84643	11	157
14b	1068	38.43272	-112.74397	12	157
15b	1058	38.46545	-113.01775	13	157
16b	1052	38.46446	-112.97192	14	157
17b	1440	38.46845	-112.92707	15	157
18b	1493	38.46819	-112.88131	16	157
19b	1089	38.46315	-112.83775	17	157
21b	1053	38.4705		-112.74363	18	157
22b	1098	38.49363	-113.0169	19	157
23b	1367	38.50406	-112.97305	20	157
24b	1055	38.50425	-112.92957	21	157
26b	1468	38.50501	-112.83642	22	157
28b	1452	38.50685	-112.74811	23	157
29b	1464	38.53785	-113.02193	24	157
30b	1090	38.5385		-112.97395	25	157
31b	1091	38.53915	-112.9281	26	157
32b	1301	38.53875	-112.88924	27	157
33b	1357	38.54505	-112.84865	28	157
34b	1080	38.55268	-112.77676	29	157
35b	1313	38.55374	-112.74356	30	157
36b	1079	38.57442	-113.02234	31	157
37b	1458	38.57733	-112.97898	32	157
38b	1083	38.57453	-112.93094	33	157
39b	1317	38.58661	-112.87585	34	157
40b	1062	38.5755		-112.84762	35	157
41b	1093	38.57336	-112.79613	36	157
42b	1082	38.58957	-112.7239	37	157
43b	1308	38.60957	-113.02138	38	157
44b	1071	38.61021	-112.9771	39	157
45b	1309	38.61019	-112.93097	40	157
46b	1054	38.61377	-112.88675	41	157
47b	1087	38.60434	-112.85021	42	157
48b	1063	38.62515	-112.80595	43	157
49b	1065	38.62632	-112.7461	44	157
1s	1470	38.48619	-112.90321	45	187
2s	1076	38.4864		-112.89579	46	187
3s	1097	38.48649	-112.88831	47	187
4s	1521	38.4866		-112.88089	48	187
5s	1432	38.4867		-112.8734	49	187
6s	1340	38.4868		-112.86601	50	187
7s	1337	38.48738	-112.85828	51	187
8s	1067	38.4921		-112.9034	52	187
9s	1442	38.4922		-112.89591	53	187
10s	1099	38.49231	-112.88858	54	187
11s	1478	38.49239	-112.88102	55	187
12s	1096	38.4926		-112.87361	56	187
13s	1351	38.49271	-112.86613	57	187
14s	1078	38.49281	-112.8587	58	187
15s	1077	38.49788	-112.90344	59	187
16s	1326	38.49814	-112.8961	60	187
17s	1088	38.49821	-112.88859	61	187
18s	1359	38.49829	-112.8812	62	187
19s	1323	38.49841	-112.8737	63	187
20s	1523	38.4985		-112.86632	64	187
21s	1535	38.49871	-112.8588	65	187
22s	1060	38.50379	-112.90373	66	187
23s	1059	38.50392	-112.89627	67	187
24s	1503	38.50399	-112.88881	68	187
25s	1066	38.5042		-112.88138	69	187
26s	1057	38.50431	-112.87393	70	187
27s	1056	38.50444	-112.8664	71	187
28s	1460	38.50449	-112.85901	72	187
29s	1421	38.50967	-112.90388	73	187
30s	1428	38.50981	-112.89639	74	187
31s	1070	38.50988	-112.88898	75	187
32s	1086	38.51		-112.88146	76	187
33s	1437	38.51011	-112.8741	77	187
34s	1445	38.5103		-112.86661	78	187
35s	1092	38.5104		-112.85912	79	187
36s	1314	38.51562	-112.90398	80	187
37s	1069	38.5156		-112.89674	81	187
38s	1331	38.51571	-112.88912	82	187
39s	1363	38.51595	-112.8816	83	187
40s	1536	38.51597	-112.87424	84	187
41s	1381	38.51611	-112.86684	85	187
42s	1075	38.51621	-112.85925	86	187
43s	1094	38.52145	-112.9043	87	187
44s	1300	38.52153	-112.89684	88	187
45s	1483	38.52169	-112.88928	89	187
46s	1407	38.5217		-112.88177	90	187
47s	1469	38.52174	-112.8744	91	187
48s	1461	38.52206	-112.86686	92	187
49s	1370	38.52214	-112.85932	93	187
